,_,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
20,0.0032408949589162782,0.0,0.00017349544747945813,0.00046323284477015324,0.00047190761714412615,0.0006367282922496114,0.00017870031090384188,0.0012040584055074395,0.000373015212080835,0.0,1.7349544747945814e-06,9.195258716411281e-05,0.00038342493892960246,0.0006263185654008439,5.204863424383744e-06,0.0,5.204863424383744e-06,0.0005517155229846769,0.004821438485454142,0.00036087053075727294,0.0,1.7349544747945814e-06,0.00018564012880302022,0.0,0.001525024983344437,0.0005274261603375527,9.715745058849656e-05,0.0,0.0,0.0,0.0,0.0005361009327115256,0.0
21,0.0,1.7349544747945814e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.021763268931823e-05,0.0,0.0,5.204863424383744e-06,0.0,0.00018737508327781478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0022432961359093936,0.0,0.0,8.848267821452366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012526371308016879,0.0,9.542249611370198e-05,0.0,0.0,1.7349544747945814e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.00035219575838330003,8.848267821452366e-05,0.0,0.0,0.0,0.0,0.00026371308016877635,0.0,0.0,0.0,8.501276926493449e-05,0.0,0.0,0.0,0.0,9.021763268931823e-05,0.0,0.0,0.0,0.0,9.889240506329114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.501276926493449e-05,0.0
24,9.542249611370198e-05,0.0009264656895403065,0.0,8.501276926493449e-05,0.0,0.0,0.001977848101265823,0.0,0.0,5.204863424383744e-06,5.204863424383744e-06,0.00010062735953808572,5.204863424383744e-06,8.848267821452366e-05,0.00018217021985343103,0.0,0.0,0.0,0.0,0.0033016183655340883,0.000903911281367977,0.0,0.0,0.0,0.0,0.00017002553852986897,0.0,0.0,0.0,8.501276926493449e-05,0.0,0.0,0.0
25,8.674772373972906e-05,0.0001769653564290473,0.0,1.7349544747945814e-06,0.0,0.0,0.00036607539418165666,0.0,0.0,1.7349544747945814e-06,8.848267821452366e-05,0.0007911392405063291,0.00044414834554741284,1.7349544747945814e-06,0.0002619781256939818,0.00019257994670219853,0.0,9.889240506329114e-05,0.0,0.0,0.0,0.0,0.00017349544747945813,0.0,0.0,0.0,0.0,0.0,0.0,0.00045629302687097493,0.0,0.0,0.0
26,8.501276926493449e-05,0.0006193787475016656,0.0,0.0,0.0,0.0,0.0009767793693093493,0.0,0.0,1.7349544747945814e-06,0.0,0.0,0.0,8.848267821452366e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7349544747945814e-06,0.0,8.674772373972906e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7349544747945814e-06,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0026995891627803687,0.0,0.0001769653564290473,0.0007841994226071507,0.0,0.00017349544747945813,0.0012404924494781257,0.0,8.501276926493449e-05,0.0,0.0008084887852542749,0.003171496779924495,0.0006367282922496114,0.00036434043970686206,0.0,0.0,3.469908949589163e-06,1.3879635798356651e-05,0.00035219575838330003,0.00044414834554741284,8.848267821452366e-05,0.0,0.00028453253386631134,0.0,8.848267821452366e-05,1.214468132356207e-05,8.501276926493449e-05,0.0,0.0,0.0,0.0,0.0,5.204863424383744e-06
29,0.0078766933155674,0.0,8.501276926493449e-05,0.00017002553852986897,0.0,0.0,0.00017523040195425272,0.0,8.674772373972907e-06,0.0,0.0,0.000522221296913169,0.0,0.0002602431712191872,0.0006384632467244059,0.0,0.0,8.501276926493449e-05,0.0006315234288252277,0.00012838663113479902,0.0,0.0,0.0,0.0,0.0,0.0006957167443926272,0.0,0.0,0.0,0.0,0.0,0.00018043526537863647,0.00045629302687097493
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469908949589163e-06,0.0,0.0,0.0,0.0,8.674772373972906e-05,0.0,0.0,0.0,0.0,0.0,0.0018164973351099268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.001984787919165001,0.0,0.00027759271596713303,0.0,0.0,0.00043894348212302907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035740062180768375,0.00028453253386631134,0.0,0.0,0.0,0.0,0.00018564012880302022,0.0,8.848267821452366e-05,0.0,0.0,0.0,0.0,0.0,0.0
32,0.010654355429713524,0.0,0.0,9.368754163890739e-05,0.0,0.00027238785254274925,0.00035566566733288916,0.00018043526537863647,0.003521957583833,3.469908949589163e-06,0.0,1.7349544747945814e-06,0.0002602431712191872,0.00036607539418165666,1.7349544747945814e-06,0.0,1.7349544747945814e-06,0.0,6.939817899178326e-06,0.0007304158338885188,0.0,0.0,8.501276926493449e-05,8.501276926493449e-05,0.0001682905840550744,0.0,0.00010236231401288031,0.0,0.0,0.0,0.0,9.542249611370198e-05,0.00035219575838330003
