,_,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
20,0.0,0.002402406176299331,0.0,0.0013551497786099976,0.00010891466535969068,0.0,0.0025448330463850805,0.0,0.00010891466535969068,0.0,1.8850615158408002e-05,0.0,0.00031417691930680006,0.00011310369095044801,0.0,0.00011100917815506934,0.009278691683527495,0.0,0.0017782413632764882,0.0013698113681776482,0.00021364030512862402,0.0010975247047784215,0.0,0.0,0.0,0.0,0.0,0.0,0.00011310369095044801,0.0008105764518115442,0.007098303863538303,0.0,0.0,0.000270192150603848
21,0.0,0.0,0.00015918297244877868,0.0006953782480657175,0.0007686861959039708,0.0009111130659897202,0.00026390861221771205,0.0,0.0008650337844913895,0.0006032196850690561,0.0,0.0,0.00011519820374582668,0.0008168599901976801,0.0007205124016102614,5.864635827060267e-05,0.0,6.283538386136e-05,0.0009697594242603228,0.005615388804410206,0.0005885580955014054,0.0,0.0,0.00026809763780846936,0.0,0.0017342565945735362,0.0005822745571152694,0.00021782933071938136,0.0,0.0,0.0,2.094512795378667e-06,0.0005466678395938321,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011310369095044801,0.0,0.0,0.00010263112697355468,0.0,0.0002220183563101387,0.0,2.094512795378667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.00015499394685802135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013237320866793176,0.0,0.00026809763780846936,0.0,0.0,2.094512795378667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.00015918297244877868,0.0,0.0,0.0,0.0,0.00022411286910551737,0.0,0.0,0.0,4.189025590757334e-06,5.445733267984534e-05,0.0,0.0,0.0,0.0,0.00010472563976893334,0.0,0.0,0.0,0.0,0.00016965553642567203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.094512795378667e-06,0.0,0.0,5.445733267984534e-05,0.0
25,0.0,0.0015499394685802137,0.0,5.445733267984534e-05,0.0,0.0,0.002239034178259795,0.0,0.0,0.0,2.094512795378667e-06,5.864635827060267e-05,0.00016756102363029335,5.864635827060267e-05,5.445733267984534e-05,0.000270192150603848,0.0,0.0,0.0,0.0,0.003690531545457211,0.0011582655758444029,0.0,0.0,0.0,0.0,0.00010891466535969068,0.0,0.0,0.0,5.445733267984534e-05,0.0,0.0,0.0
26,0.0,0.0002094512795378667,0.0,5.0268307089088005e-05,0.0,0.0,0.0007288904527917761,0.0,0.0,0.0,6.283538386136001e-06,5.864635827060267e-05,0.0007624026575178348,0.0003812013287589174,5.445733267984534e-05,0.0003246494832836934,0.00033302753446520805,0.0,0.0002722866633992267,0.0,0.0,2.094512795378667e-06,0.0,0.00010891466535969068,0.0,0.0,0.0,0.0,0.0,0.0,0.0005005885580955014,0.0,0.0,0.0
27,0.0,0.000490115994118608,0.0,0.0,0.0,0.0,0.0009613813730788082,0.0,0.0,0.0,4.189025590757334e-06,0.0,0.0,0.0,5.445733267984534e-05,2.094512795378667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010472563976893334,0.0,0.0,0.0,0.0,0.0,0.0,5.0268307089088005e-05,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.00015499394685802135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.445733267984534e-05
29,0.0,0.0,0.0001654665108349147,0.0008419941437422242,2.094512795378667e-06,0.00010891466535969068,0.0013551497786099976,0.0,0.0,5.6551845475224006e-05,0.0,0.0008713173228775254,0.003868565133064398,0.0006136922490459494,0.0003958629183265681,2.094512795378667e-06,0.0,5.236281988446667e-05,0.00011729271654120535,0.0004251860974618694,0.00037910681596353875,5.864635827060267e-05,0.0,0.0004963995325047441,0.0,5.6551845475224006e-05,0.00016965553642567203,5.0268307089088005e-05,0.0,0.0,0.0,0.0,0.0,5.864635827060267e-05
30,0.0,0.0,5.445733267984534e-05,0.00010053661417817601,0.0,0.0,0.0,0.0,0.0,0.0002094512795378667,0.0,0.0,0.00043356414864338406,0.0,0.0002220183563101387,0.0008105764518115442,0.0,0.0,5.445733267984534e-05,0.0008692228100821468,0.0006492989665673868,0.0,0.0,0.0,0.0,0.0,0.0006032196850690561,0.0,0.0,0.0,0.0,0.0,0.0002220183563101387,0.0004461312254156561
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010053661417817601,0.0,0.0,0.0,0.0,0.00010472563976893334,0.0,0.0,0.0,0.0,0.0,0.002377272022754787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0004356586614387627,0.0,0.0,0.0004817379429370934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043984768702952007,0.0005948416338875414,0.0,0.0,0.0,0.0,0.0002722866633992267,0.0,0.00015499394685802135,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.00016337199803953602,2.094512795378667e-06,0.00022411286910551737,0.0003853903543496747,0.0,0.00016337199803953602,0.0041994981547342275,2.094512795378667e-06,0.0,5.0268307089088005e-05,0.00021992384351476004,0.0004503202510064134,5.0268307089088005e-05,0.0,0.0,0.0,0.00011729271654120535,0.0011017137303691788,0.0,0.0,5.445733267984534e-05,5.445733267984534e-05,0.00010472563976893334,0.0,0.0002743811761946054,0.0,0.0,0.0,0.0,0.00020735676674248803,0.0002722866633992267
